Step 	Training Loss 	Validation Loss 	Count 	Accuracy 	F1 	Precision 	Recall 	Confusion Matrix
8200 	0.073000 	0.626100 	(863, 1000) 	0.863000 	0.863000 	0.865000 	0.863000 	[[356 22 42] [ 10 150 10] [ 33 20 357]]
8400 	0.070500 	0.645693 	(864, 1000) 	0.864000 	0.864000 	0.866000 	0.864000 	[[357 21 42] [ 11 148 11] [ 32 19 359]]
8600 	0.071800 	0.690821 	(862, 1000) 	0.862000 	0.863000 	0.866000 	0.862000 	[[364 25 31] [ 12 150 8] [ 40 22 348]]
8800 	0.071200 	0.662953 	(866, 1000) 	0.866000 	0.866000 	0.868000 	0.866000 	[[371 21 28] [ 15 146 9] [ 43 18 349]]
9000 	0.063000 	0.716640 	(865, 1000) 	0.865000 	0.865000 	0.867000 	0.865000 	[[369 21 30] [ 11 149 10] [ 44 19 347]]
9200 	0.067400 	0.658036 	(870, 1000) 	0.870000 	0.870000 	0.872000 	0.870000 	[[368 20 32] [ 11 150 9] [ 38 20 352]]
9400 	0.059500 	0.707841 	(860, 1000) 	0.860000 	0.860000 	0.862000 	0.860000 	[[372 19 29] [ 13 148 9] [ 53 17 340]]
9600 	0.057700 	0.689429 	(871, 1000) 	0.871000 	0.871000 	0.872000 	0.871000 	[[368 17 35] [ 10 150 10] [ 41 16 353]]
9800 	0.053600 	0.693036 	(873, 1000) 	0.873000 	0.873000 	0.874000 	0.873000 	[[371 16 33] [ 13 149 8] [ 40 17 353]]
10000 	0.064500 	0.696130 	(872, 1000) 	0.872000 	0.872000 	0.873000 	0.872000 	[[372 17 31] [ 14 148 8] [ 41 17 352]]
10200 	0.064500 	0.695655 	(871, 1000) 	0.871000 	0.871000 	0.872000 	0.871000 	[[369 19 32] [ 13 149 8] [ 41 16 353]]

